# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	2.49966458e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49978231e-02	(2.50000000e-03 3.12500000e-05 4.87500000e-04)
400             	T               	2.49966838e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49975140e-02	(2.50000000e-03 3.12500000e-05 5.12500000e-04)
600             	T               	2.49966236e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49973797e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
800             	T               	2.49965569e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49972988e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1000            	T               	2.49964904e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49972410e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1200            	T               	2.49964234e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49972027e-02	(4.16666665e-03 3.12500000e-05 5.37500000e-04)
1400            	T               	2.49963558e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971768e-02	(4.16666665e-03 3.12500000e-05 5.37500000e-04)
1600            	T               	2.49962881e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971566e-02	(5.83333335e-03 3.12500000e-05 5.37500000e-04)
1800            	T               	2.49962206e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971425e-02	(5.83333335e-03 3.12500000e-05 5.62500000e-04)
2000            	T               	2.49961539e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971316e-02	(5.83333335e-03 3.12500000e-05 5.87500000e-04)
2200            	T               	2.49960882e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971232e-02	(7.50000000e-03 3.12500000e-05 6.12500000e-04)
2400            	T               	2.49960237e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971168e-02	(7.50000000e-03 3.12500000e-05 6.37500000e-04)
2600            	T               	2.49959606e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971117e-02	(3.91666665e-02 3.12500000e-05 6.87500000e-04)
2800            	T               	2.49958989e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971077e-02	(3.91666665e-02 3.12500000e-05 7.12500000e-04)
3000            	T               	2.49958387e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971044e-02	(4.91666665e-02 3.12500000e-05 8.43750000e-04)
3200            	T               	2.49957798e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49971017e-02	(4.91666665e-02 3.12500000e-05 9.68750000e-04)
3400            	T               	2.49957224e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970994e-02	(3.91666665e-02 2.62500000e-04 9.68750000e-04)
3600            	T               	2.49956663e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970975e-02	(4.91666665e-02 3.12500000e-04 9.68750000e-04)
3800            	T               	2.49956115e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970957e-02	(3.91666665e-02 3.37500000e-04 9.68750000e-04)
4000            	T               	2.49955579e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970941e-02	(3.91666665e-02 3.87500000e-04 9.68750000e-04)
4200            	T               	2.49955055e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970926e-02	(4.91666665e-02 4.12500000e-04 9.68750000e-04)
4400            	T               	2.49954542e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970912e-02	(3.91666665e-02 4.62500000e-04 9.68750000e-04)
4600            	T               	2.49954040e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970898e-02	(3.91666665e-02 4.62500000e-04 9.68750000e-04)
4800            	T               	2.49953548e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970885e-02	(3.91666665e-02 4.87500000e-04 9.68750000e-04)
5000            	T               	2.49953066e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970872e-02	(8.41666665e-02 5.12500000e-04 9.68750000e-04)
5200            	T               	2.49952593e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970859e-02	(8.41666665e-02 5.12500000e-04 9.68750000e-04)
5400            	T               	2.49952129e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970847e-02	(8.41666665e-02 5.37500000e-04 9.68750000e-04)
5600            	T               	2.49951673e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970834e-02	(8.91666665e-02 1.23750000e-03 9.68750000e-04)
5800            	T               	2.49951225e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970822e-02	(8.91666665e-02 1.23750000e-03 9.68750000e-04)
6000            	T               	2.49950785e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	2.49970810e-02	(8.91666665e-02 1.23750000e-03 9.68750000e-04)
