# Region type : patch outlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.37443099e-02
400             	2.48885315e-02
600             	2.49878030e-02
800             	2.49963851e-02
1000            	2.49971018e-02
1200            	2.49971417e-02
1400            	2.49971271e-02
1600            	2.49971112e-02
1800            	2.49970976e-02
2000            	2.49970858e-02
2200            	2.49970759e-02
2400            	2.49970673e-02
2600            	2.49970596e-02
2800            	2.49970525e-02
3000            	2.49970460e-02
3200            	2.49970398e-02
3400            	2.49970339e-02
3600            	2.49970282e-02
3800            	2.49970227e-02
4000            	2.49970173e-02
4200            	2.49970119e-02
4400            	2.49970067e-02
4600            	2.49970014e-02
4800            	2.49969963e-02
5000            	2.49969911e-02
5200            	2.49969860e-02
5400            	2.49969808e-02
5600            	2.49969757e-02
5800            	2.49969706e-02
6000            	2.49969655e-02
