# Region type : patch solid_wall_to_domain1
# Faces         : 4800
# Area          : 4.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	2.49973730e-02
400             	2.49972638e-02
600             	2.49972108e-02
800             	2.49971688e-02
1000            	2.49971340e-02
1200            	2.49971048e-02
1400            	2.49970801e-02
1600            	2.49970586e-02
1800            	2.49970397e-02
2000            	2.49970227e-02
2200            	2.49970070e-02
2400            	2.49969924e-02
2600            	2.49969786e-02
2800            	2.49969654e-02
3000            	2.49969526e-02
3200            	2.49969402e-02
3400            	2.49969280e-02
3600            	2.49969159e-02
3800            	2.49969041e-02
4000            	2.49968923e-02
4200            	2.49968805e-02
4400            	2.49968689e-02
4600            	2.49968573e-02
4800            	2.49968457e-02
5000            	2.49968341e-02
5200            	2.49968226e-02
5400            	2.49968110e-02
5600            	2.49967995e-02
5800            	2.49967880e-02
6000            	2.49967765e-02
