# Region type : patch chipFace
# Faces         : 7440
# Area          : 1.60000000e-03
# Scale factor  : 1.00000000e+00
# Time          	areaIntegrate(wallHeatFlux)
200             	-4.43839978e-07
400             	-4.43839978e-07
600             	-4.43839978e-07
800             	-4.43839978e-07
1000            	-4.43839978e-07
1200            	-4.43839978e-07
1400            	-4.43839978e-07
1600            	-4.43839978e-07
1800            	-4.43839978e-07
2000            	-4.43839978e-07
2200            	-4.43839978e-07
2400            	-4.43839978e-07
2600            	-4.43839978e-07
2800            	-4.43839978e-07
3000            	-4.43839978e-07
3200            	-4.43839978e-07
3400            	-4.43839978e-07
3600            	-4.43839978e-07
3800            	-4.43839978e-07
4000            	-4.43839978e-07
4200            	-4.43839978e-07
4400            	-4.43839978e-07
4600            	-4.43839978e-07
4800            	-4.43839978e-07
5000            	-4.43839978e-07
5200            	-4.43839978e-07
5400            	-4.43839978e-07
5600            	-4.43839978e-07
5800            	-4.43839978e-07
6000            	-4.43839978e-07
