# Region type : patch inlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p_rgh)
200             	2.92298238e-03
400             	2.92287797e-03
600             	2.92287790e-03
800             	2.92287788e-03
1000            	2.92287789e-03
1200            	2.92287789e-03
1400            	2.92287789e-03
1600            	2.92287789e-03
1800            	2.92287789e-03
2000            	2.92287789e-03
2200            	2.92287789e-03
2400            	2.92287789e-03
2600            	2.92287789e-03
2800            	2.92287789e-03
3000            	2.92287789e-03
3200            	2.92287789e-03
3400            	2.92287789e-03
3600            	2.92287789e-03
3800            	2.92287789e-03
4000            	2.92287789e-03
4200            	2.92287789e-03
4400            	2.92287789e-03
4600            	2.92287789e-03
4800            	2.92287789e-03
5000            	2.92287789e-03
5200            	2.92287789e-03
5400            	2.92287789e-03
5600            	2.92287789e-03
5800            	2.92287789e-03
6000            	2.92287789e-03
