# Region type : patch solid_wall_to_domain1
# Faces         : 4800
# Area          : 4.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	2.49962695e-02
400             	2.49961144e-02
600             	2.49960392e-02
800             	2.49959796e-02
1000            	2.49959301e-02
1200            	2.49958887e-02
1400            	2.49958535e-02
1600            	2.49958231e-02
1800            	2.49957962e-02
2000            	2.49957720e-02
2200            	2.49957498e-02
2400            	2.49957291e-02
2600            	2.49957095e-02
2800            	2.49956907e-02
3000            	2.49956726e-02
3200            	2.49956549e-02
3400            	2.49956375e-02
3600            	2.49956205e-02
3800            	2.49956036e-02
4000            	2.49955868e-02
4200            	2.49955702e-02
4400            	2.49955536e-02
4600            	2.49955371e-02
4800            	2.49955207e-02
5000            	2.49955042e-02
5200            	2.49954878e-02
5400            	2.49954715e-02
5600            	2.49954551e-02
5800            	2.49954388e-02
6000            	2.49954224e-02
