# Region type : patch domain1_to_solid_wall
# Faces         : 4800
# Area          : 8.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	2.49962385e-02
400             	2.49960402e-02
600             	2.49959204e-02
800             	2.49958156e-02
1000            	2.49957207e-02
1200            	2.49956336e-02
1400            	2.49955525e-02
1600            	2.49954761e-02
1800            	2.49954031e-02
2000            	2.49953328e-02
2200            	2.49952644e-02
2400            	2.49951974e-02
2600            	2.49951316e-02
2800            	2.49950666e-02
3000            	2.49950021e-02
3200            	2.49949382e-02
3400            	2.49948745e-02
3600            	2.49948112e-02
3800            	2.49947480e-02
4000            	2.49946849e-02
4200            	2.49946220e-02
4400            	2.49945591e-02
4600            	2.49944963e-02
4800            	2.49944336e-02
5000            	2.49943708e-02
5200            	2.49943081e-02
5400            	2.49942455e-02
5600            	2.49941828e-02
5800            	2.49941202e-02
6000            	2.49940575e-02
