# Region type : patch outlet
# Faces         : 400
# Area          : 4.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.37374540e-02
400             	2.48862380e-02
600             	2.49864395e-02
800             	2.49951210e-02
1000            	2.49958195e-02
1200            	2.49958298e-02
1400            	2.49957854e-02
1600            	2.49957411e-02
1800            	2.49957003e-02
2000            	2.49956625e-02
2200            	2.49956270e-02
2400            	2.49955933e-02
2600            	2.49955608e-02
2800            	2.49955292e-02
3000            	2.49954984e-02
3200            	2.49954680e-02
3400            	2.49954381e-02
3600            	2.49954085e-02
3800            	2.49953791e-02
4000            	2.49953499e-02
4200            	2.49953207e-02
4400            	2.49952917e-02
4600            	2.49952628e-02
4800            	2.49952339e-02
5000            	2.49952050e-02
5200            	2.49951762e-02
5400            	2.49951474e-02
5600            	2.49951186e-02
5800            	2.49950898e-02
6000            	2.49950610e-02
