# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	2.49937935e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49968947e-02	(7.50000000e-03 1.25000000e-04 2.35000000e-03)
400             	T               	2.49926640e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49964209e-02	(1.25000000e-02 1.25000000e-04 2.25000000e-03)
600             	T               	2.49917676e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49961982e-02	(1.58333335e-02 1.25000000e-04 2.35000000e-03)
800             	T               	2.49910469e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49960626e-02	(1.91666665e-02 1.25000000e-04 2.65000000e-03)
1000            	T               	2.49904302e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49959677e-02	(2.08333335e-02 1.25000000e-04 2.85000000e-03)
1200            	T               	2.49898795e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49958953e-02	(2.41666665e-02 1.25000000e-04 3.62500000e-03)
1400            	T               	2.49893751e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49958370e-02	(2.58333335e-02 3.75000000e-04 3.87500000e-03)
1600            	T               	2.49889053e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49957880e-02	(2.91666665e-02 1.15000000e-03 3.87500000e-03)
1800            	T               	2.49884631e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49957450e-02	(3.08333335e-02 1.35000000e-03 3.87500000e-03)
2000            	T               	2.49880436e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49957062e-02	(3.25000000e-02 1.45000000e-03 3.87500000e-03)
2200            	T               	2.49876434e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49956702e-02	(3.41666665e-02 1.65000000e-03 3.87500000e-03)
2400            	T               	2.49872597e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49956363e-02	(3.58333335e-02 1.75000000e-03 3.87500000e-03)
2600            	T               	2.49868906e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49956038e-02	(3.91666665e-02 1.85000000e-03 3.87500000e-03)
2800            	T               	2.49865344e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49955724e-02	(3.91666665e-02 1.95000000e-03 3.87500000e-03)
3000            	T               	2.49861899e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49955417e-02	(4.08333335e-02 2.05000000e-03 3.87500000e-03)
3200            	T               	2.49858558e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49955115e-02	(4.41666665e-02 2.05000000e-03 3.87500000e-03)
3400            	T               	2.49855313e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49954817e-02	(4.41666665e-02 2.15000000e-03 3.87500000e-03)
3600            	T               	2.49852155e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49954527e-02	(4.41666665e-02 4.95000000e-03 3.87500000e-03)
3800            	T               	2.49849078e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49954242e-02	(4.91666665e-02 4.95000000e-03 3.87500000e-03)
4000            	T               	2.49846074e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49953957e-02	(5.08333335e-02 4.95000000e-03 3.87500000e-03)
4200            	T               	2.49843139e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49953671e-02	(5.08333335e-02 4.95000000e-03 3.87500000e-03)
4400            	T               	2.49840268e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49953385e-02	(5.41666665e-02 4.95000000e-03 3.87500000e-03)
4600            	T               	2.49837456e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49953099e-02	(5.58333335e-02 5.05000000e-03 3.87500000e-03)
4800            	T               	2.49834701e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49952813e-02	(5.58333335e-02 7.95000000e-03 3.87500000e-03)
5000            	T               	2.49831997e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49952527e-02	(5.58333335e-02 7.95000000e-03 3.87500000e-03)
5200            	T               	2.49829342e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49952240e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
5400            	T               	2.49826734e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49951954e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
5600            	T               	2.49824169e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49951667e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
5800            	T               	2.49821646e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49951380e-02	(5.91666665e-02 7.95000000e-03 3.87500000e-03)
6000            	T               	2.49819161e-02	(8.33333350e-04 9.00000000e-03 1.95000000e-03)	2.49951093e-02	(6.08333335e-02 7.95000000e-03 3.87500000e-03)
