# Region type : patch outlet
# Faces         : 196
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.48927122e-02
400             	2.49964417e-02
600             	2.49971327e-02
800             	2.49971087e-02
1000            	2.49970911e-02
1200            	2.49970800e-02
1400            	2.49970729e-02
1600            	2.49970679e-02
1800            	2.49970639e-02
2000            	2.49970606e-02
2200            	2.49970577e-02
2400            	2.49970550e-02
2600            	2.49970524e-02
2800            	2.49970498e-02
3000            	2.49970473e-02
3200            	2.49970448e-02
3400            	2.49970423e-02
3600            	2.49970398e-02
3800            	2.49970373e-02
4000            	2.49970349e-02
4200            	2.49970324e-02
4400            	2.49970299e-02
4600            	2.49970274e-02
4800            	2.49970250e-02
5000            	2.49970225e-02
5200            	2.49970200e-02
5400            	2.49970176e-02
5600            	2.49970151e-02
5800            	2.49970126e-02
6000            	2.49970102e-02
