# Region type : patch inlet
# Faces         : 196
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
200             	-3.62500000e-08
400             	-3.62500000e-08
600             	-3.62500000e-08
800             	-3.62500000e-08
1000            	-3.62500000e-08
1200            	-3.62500000e-08
1400            	-3.62500000e-08
1600            	-3.62500000e-08
1800            	-3.62500000e-08
2000            	-3.62500000e-08
2200            	-3.62500000e-08
2400            	-3.62500000e-08
2600            	-3.62500000e-08
2800            	-3.62500000e-08
3000            	-3.62500000e-08
3200            	-3.62500000e-08
3400            	-3.62500000e-08
3600            	-3.62500000e-08
3800            	-3.62500000e-08
4000            	-3.62500000e-08
4200            	-3.62500000e-08
4400            	-3.62500000e-08
4600            	-3.62500000e-08
4800            	-3.62500000e-08
5000            	-3.62500000e-08
5200            	-3.62500000e-08
5400            	-3.62500000e-08
5600            	-3.62500000e-08
5800            	-3.62500000e-08
6000            	-3.62500000e-08
