# Region type : patch inlet
# Faces         : 196
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p_rgh)
200             	1.12522261e-02
400             	1.12522259e-02
600             	1.12522263e-02
800             	1.12522263e-02
1000            	1.12522263e-02
1200            	1.12522263e-02
1400            	1.12522263e-02
1600            	1.12522263e-02
1800            	1.12522263e-02
2000            	1.12522263e-02
2200            	1.12522263e-02
2400            	1.12522263e-02
2600            	1.12522263e-02
2800            	1.12522263e-02
3000            	1.12522263e-02
3200            	1.12522263e-02
3400            	1.12522263e-02
3600            	1.12522263e-02
3800            	1.12522263e-02
4000            	1.12522263e-02
4200            	1.12522263e-02
4400            	1.12522263e-02
4600            	1.12522263e-02
4800            	1.12522263e-02
5000            	1.12522263e-02
5200            	1.12522263e-02
5400            	1.12522263e-02
5600            	1.12522263e-02
5800            	1.12522263e-02
6000            	1.12522263e-02
