# Region type : patch chipFace
# Faces         : 3696
# Area          : 4.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaIntegrate(wallHeatFlux)
200             	-2.67000000e-08
400             	-2.67000000e-08
600             	-2.67000000e-08
800             	-2.67000000e-08
1000            	-2.67000000e-08
1200            	-2.67000000e-08
1400            	-2.67000000e-08
1600            	-2.67000000e-08
1800            	-2.67000000e-08
2000            	-2.67000000e-08
2200            	-2.67000000e-08
2400            	-2.67000000e-08
2600            	-2.67000000e-08
2800            	-2.67000000e-08
3000            	-2.67000000e-08
3200            	-2.67000000e-08
3400            	-2.67000000e-08
3600            	-2.67000000e-08
3800            	-2.67000000e-08
4000            	-2.67000000e-08
4200            	-2.67000000e-08
4400            	-2.67000000e-08
4600            	-2.67000000e-08
4800            	-2.67000000e-08
5000            	-2.67000000e-08
5200            	-2.67000000e-08
5400            	-2.67000000e-08
5600            	-2.67000000e-08
5800            	-2.67000000e-08
6000            	-2.67000000e-08
