# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	2.49967298e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49974870e-02	(3.57142860e-03 4.16666665e-05 5.17857145e-04)
400             	T               	2.49966816e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49972811e-02	(3.57142860e-03 2.50000000e-04 5.17857145e-04)
600             	T               	2.49966095e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49971993e-02	(3.57142860e-03 2.50000000e-04 5.17857145e-04)
800             	T               	2.49965239e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49971531e-02	(3.57142860e-03 2.50000000e-04 5.17857145e-04)
1000            	T               	2.49964311e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49971204e-02	(3.57142860e-03 2.50000000e-04 5.17857145e-04)
1200            	T               	2.49963361e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970928e-02	(3.57142860e-03 2.50000000e-04 5.17857145e-04)
1400            	T               	2.49962418e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970827e-02	(5.95238095e-03 2.50000000e-04 6.96428570e-04)
1600            	T               	2.49961495e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970754e-02	(5.95238095e-03 3.03571430e-04 7.50000000e-04)
1800            	T               	2.49960600e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970689e-02	(5.95238095e-03 4.10714285e-04 7.50000000e-04)
2000            	T               	2.49959733e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970641e-02	(8.33333330e-03 4.10714285e-04 9.58333335e-04)
2200            	T               	2.49958896e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970609e-02	(8.33333330e-03 4.46428570e-04 9.58333335e-04)
2400            	T               	2.49958088e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970576e-02	(8.33333330e-03 5.17857145e-04 9.58333335e-04)
2600            	T               	2.49957306e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970548e-02	(1.07142858e-02 5.17857145e-04 9.58333335e-04)
2800            	T               	2.49956549e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970522e-02	(1.07142857e-02 1.23214285e-03 9.58333335e-04)
3000            	T               	2.49955815e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970496e-02	(1.07142857e-02 1.23214285e-03 9.58333335e-04)
3200            	T               	2.49955103e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970471e-02	(1.30952380e-02 1.23214285e-03 9.58333335e-04)
3400            	T               	2.49954410e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970446e-02	(1.30952380e-02 1.23214285e-03 9.58333335e-04)
3600            	T               	2.49953736e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970421e-02	(1.30952380e-02 1.26785715e-03 9.58333335e-04)
3800            	T               	2.49953080e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970396e-02	(1.54761905e-02 1.26785715e-03 9.58333335e-04)
4000            	T               	2.49952439e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970371e-02	(1.78571430e-02 1.26785715e-03 9.58333335e-04)
4200            	T               	2.49951814e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970347e-02	(1.78571430e-02 1.26785715e-03 9.58333335e-04)
4400            	T               	2.49951203e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970322e-02	(1.78571430e-02 1.98214285e-03 9.58333335e-04)
4600            	T               	2.49950605e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970297e-02	(1.78571430e-02 1.98214285e-03 9.58333335e-04)
4800            	T               	2.49950019e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970272e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
5000            	T               	2.49949445e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970248e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
5200            	T               	2.49948882e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970223e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
5400            	T               	2.49948330e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970198e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
5600            	T               	2.49947787e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970174e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
5800            	T               	2.49947254e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970149e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
6000            	T               	2.49946730e-02	(1.19047620e-03 2.25000000e-03 4.82142855e-04)	2.49970124e-02	(3.21428570e-02 1.98214285e-03 9.58333335e-04)
