# Region type : patch solid_wall_to_domain1
# Faces         : 2352
# Area          : 2.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	2.49972482e-02
400             	2.49971701e-02
600             	2.49971231e-02
800             	2.49970943e-02
1000            	2.49970759e-02
1200            	2.49970634e-02
1400            	2.49970541e-02
1600            	2.49970467e-02
1800            	2.49970402e-02
2000            	2.49970343e-02
2200            	2.49970287e-02
2400            	2.49970233e-02
2600            	2.49970180e-02
2800            	2.49970127e-02
3000            	2.49970075e-02
3200            	2.49970023e-02
3400            	2.49969971e-02
3600            	2.49969919e-02
3800            	2.49969867e-02
4000            	2.49969815e-02
4200            	2.49969763e-02
4400            	2.49969711e-02
4600            	2.49969660e-02
4800            	2.49969608e-02
5000            	2.49969556e-02
5200            	2.49969504e-02
5400            	2.49969452e-02
5600            	2.49969401e-02
5800            	2.49969349e-02
6000            	2.49969297e-02
