# Region type : patch outlet
# Faces         : 400
# Area          : 2.50000000e-07
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p_rgh)
200             	0.00000000e+00
400             	0.00000000e+00
600             	0.00000000e+00
800             	0.00000000e+00
1000            	0.00000000e+00
1200            	0.00000000e+00
1400            	0.00000000e+00
1600            	0.00000000e+00
1800            	0.00000000e+00
2000            	0.00000000e+00
2200            	0.00000000e+00
2400            	0.00000000e+00
2600            	0.00000000e+00
2800            	0.00000000e+00
3000            	0.00000000e+00
3200            	0.00000000e+00
3400            	0.00000000e+00
3600            	0.00000000e+00
3800            	0.00000000e+00
4000            	0.00000000e+00
4200            	0.00000000e+00
4400            	0.00000000e+00
4600            	0.00000000e+00
4800            	0.00000000e+00
5000            	0.00000000e+00
5200            	0.00000000e+00
5400            	0.00000000e+00
5600            	0.00000000e+00
5800            	0.00000000e+00
6000            	0.00000000e+00
