# Region type : patch solid_wall_to_domain5
# Faces         : 4800
# Area          : 4.00000000e-04
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
200             	2.49973718e-02
400             	2.49972625e-02
600             	2.49972096e-02
800             	2.49971677e-02
1000            	2.49971330e-02
1200            	2.49971039e-02
1400            	2.49970792e-02
1600            	2.49970578e-02
1800            	2.49970389e-02
2000            	2.49970219e-02
2200            	2.49970063e-02
2400            	2.49969918e-02
2600            	2.49969780e-02
2800            	2.49969649e-02
3000            	2.49969521e-02
3200            	2.49969397e-02
3400            	2.49969275e-02
3600            	2.49969155e-02
3800            	2.49969036e-02
4000            	2.49968919e-02
4200            	2.49968802e-02
4400            	2.49968685e-02
4600            	2.49968570e-02
4800            	2.49968454e-02
5000            	2.49968338e-02
5200            	2.49968223e-02
5400            	2.49968108e-02
5600            	2.49967993e-02
5800            	2.49967878e-02
6000            	2.49967763e-02
