# Region type : patch outlet
# Faces         : 400
# Area          : 1.00000000e-06
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(T)
200             	2.37439539e-02
400             	2.48881410e-02
600             	2.49874450e-02
800             	2.49960610e-02
1000            	2.49968066e-02
1200            	2.49968705e-02
1400            	2.49968764e-02
1600            	2.49968781e-02
1800            	2.49968801e-02
2000            	2.49968822e-02
2200            	2.49968843e-02
2400            	2.49968862e-02
2600            	2.49968877e-02
2800            	2.49968889e-02
3000            	2.49968895e-02
3200            	2.49968898e-02
3400            	2.49968896e-02
3600            	2.49968889e-02
3800            	2.49968879e-02
4000            	2.49968866e-02
4200            	2.49968849e-02
4400            	2.49968828e-02
4600            	2.49968806e-02
4800            	2.49968780e-02
5000            	2.49968752e-02
5200            	2.49968722e-02
5400            	2.49968690e-02
5600            	2.49968656e-02
5800            	2.49968621e-02
6000            	2.49968584e-02
