# Region type : patch chipFace
# Faces         : 13200
# Area          : 1.40000000e-03
# Scale factor  : 1.00000000e+00
# Time          	areaIntegrate(wallHeatFlux)
200             	-1.94180082e-07
400             	-1.94180082e-07
600             	-1.94180082e-07
800             	-1.94180082e-07
1000            	-1.94180082e-07
1200            	-1.94180082e-07
1400            	-1.94180082e-07
1600            	-1.94180082e-07
1800            	-1.94180082e-07
2000            	-1.94180082e-07
2200            	-1.94180082e-07
2400            	-1.94180082e-07
2600            	-1.94180082e-07
2800            	-1.94180082e-07
3000            	-1.94180082e-07
3200            	-1.94180082e-07
3400            	-1.94180082e-07
3600            	-1.94180082e-07
3800            	-1.94180082e-07
4000            	-1.94180082e-07
4200            	-1.94180082e-07
4400            	-1.94180082e-07
4600            	-1.94180082e-07
4800            	-1.94180082e-07
5000            	-1.94180082e-07
5200            	-1.94180082e-07
5400            	-1.94180082e-07
5600            	-1.94180082e-07
5800            	-1.94180082e-07
6000            	-1.94180082e-07
