# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.04998412e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998969e-02	(2.50000000e-03 3.12500000e-05 5.12500000e-04)
400             	T               	1.04998429e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998822e-02	(2.50000000e-03 3.12500000e-05 5.12500000e-04)
600             	T               	1.04998400e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998758e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
800             	T               	1.04998368e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998719e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1000            	T               	1.04998336e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998692e-02	(2.50000000e-03 2.50000000e-04 5.12500000e-04)
1200            	T               	1.04998304e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998672e-02	(4.16666665e-03 3.12500000e-05 5.62500000e-04)
1400            	T               	1.04998271e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998660e-02	(4.16666665e-03 3.12500000e-05 5.62500000e-04)
1600            	T               	1.04998239e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998650e-02	(7.50000000e-03 3.12500000e-05 5.87500000e-04)
1800            	T               	1.04998206e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998643e-02	(2.41666665e-02 3.12500000e-05 6.12500000e-04)
2000            	T               	1.04998174e-02	(8.33333350e-04 2.25000000e-03 4.87500000e-04)	1.04998637e-02	(2.41666665e-02 3.12500000e-05 6.37500000e-04)
