# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
2               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
3               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
4               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
5               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
6               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
7               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
8               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
9               	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
10              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
11              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
12              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
13              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
14              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
15              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
16              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
17              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
18              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
19              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
20              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
21              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
22              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
23              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
24              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
25              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
26              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
27              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
28              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
29              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
30              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
31              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
32              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
33              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
34              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
35              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
36              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
37              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
38              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
39              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
40              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
41              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
42              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
43              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
44              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
45              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
46              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
47              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
48              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
49              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
50              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
51              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
52              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
53              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
54              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
55              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
56              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
57              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
58              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
59              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
60              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
61              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
62              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
63              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
64              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
65              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
66              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
67              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
68              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
69              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
70              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
71              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
72              	chipFace	-4.45000031e-06	-4.45000031e-06	-1.78000012e-09
