# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
200             	T               	1.24993995e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24996373e-02	(2.50000000e-03 6.25000000e-05 1.02500000e-03)
400             	T               	1.24993605e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995842e-02	(4.16666665e-03 6.25000000e-05 1.02500000e-03)
600             	T               	1.24993148e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995605e-02	(9.16666665e-03 6.25000000e-05 1.02500000e-03)
800             	T               	1.24992753e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995472e-02	(9.16666665e-03 6.25000000e-05 1.02500000e-03)
1000            	T               	1.24992407e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995386e-02	(1.08333335e-02 6.25000000e-05 1.07500000e-03)
1200            	T               	1.24992093e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995327e-02	(1.25000000e-02 6.25000000e-05 1.07500000e-03)
1400            	T               	1.24991803e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995284e-02	(5.25000000e-02 6.25000000e-05 1.12500000e-03)
1600            	T               	1.24991530e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995252e-02	(5.25000000e-02 6.25000000e-05 1.17500000e-03)
1800            	T               	1.24991273e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995227e-02	(5.25000000e-02 6.25000000e-05 1.22500000e-03)
2000            	T               	1.24991027e-02	(8.33333350e-04 4.50000000e-03 9.75000000e-04)	1.24995208e-02	(5.25000000e-02 6.25000000e-05 1.27500000e-03)
