# Wall heat-flux
# Time          	patch           	min             	max             	integral        
1               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
2               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
3               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
4               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
5               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
6               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
7               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
8               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
9               	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
10              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
11              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
12              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
13              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
14              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
15              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
16              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
17              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
18              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
19              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
20              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
21              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
22              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
23              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
24              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
25              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
26              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
27              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
28              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
29              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
30              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
31              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
32              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
33              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
34              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
35              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
36              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
37              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
38              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
39              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
40              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
41              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
42              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
43              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
44              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
45              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
46              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
47              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
48              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
49              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
50              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
51              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
52              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
53              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
54              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
55              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
56              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
57              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
58              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
59              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
60              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
61              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
62              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
63              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
64              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
65              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
66              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
67              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
68              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
69              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
70              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
71              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
72              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
73              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
74              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
75              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
76              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
77              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
78              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
79              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
80              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
81              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
82              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
83              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
84              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
85              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
86              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
87              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
88              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
89              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
90              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
91              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
92              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
93              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
94              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
95              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
96              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
97              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
98              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
99              	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
100             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
101             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
102             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
103             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
104             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
105             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
106             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
